138.871	levelLoad	2
153.052	objectSetup	AO6G	142	235	0
4290.059	levelStart
4294.21	trace	YT6C	0	5	0	20	135	0
4294.33	trace	AO6G	0	0	0	142	235	0
4294.431	trace	C5NY	0	0	0	0	43	0
4310.82	trace	YT6C	0	10	0	20	135	0
4310.949	trace	AO6G	0	0	0	142	235	0
4311.02	trace	C5NY	0	0	0	0	43	0
4327.129	trace	YT6C	0	15	0	20	135	0
4327.245	trace	AO6G	0	0	0	142	235	0
4327.316	trace	C5NY	0	0	0	0	43	0
4343.627	trace	YT6C	0	20	0	20	136	0
4343.759	trace	AO6G	0	0	0	142	235	0
4343.827	trace	C5NY	0	0	0	0	43	0
4360.265	trace	YT6C	0	25	0	20	136	0
4360.387	trace	AO6G	0	0	0	142	235	0
4360.463	trace	C5NY	0	0	0	0	43	0
4376.952	trace	YT6C	0	29	0	20	137	0
4377.072	trace	AO6G	0	0	0	142	235	0
4377.143	trace	C5NY	0	0	0	0	43	0
4393.846	trace	YT6C	0	34	0	20	137	0
4393.967	trace	AO6G	0	0	0	142	235	0
4394.048	trace	C5NY	0	0	0	0	43	0
4410.263	trace	YT6C	0	39	0	20	138	0
4410.426	trace	AO6G	0	0	0	142	235	0
4410.499	trace	C5NY	0	0	0	0	43	0
4426.592	trace	YT6C	0	44	0	20	139	0
4426.714	trace	AO6G	0	0	0	142	235	0
4426.786	trace	C5NY	0	0	0	0	43	0
4443.083	trace	YT6C	0	49	0	20	139	0
4443.2	trace	AO6G	0	0	0	142	235	0
4443.271	trace	C5NY	0	0	0	0	43	0
4459.588	trace	YT6C	0	54	0	20	140	0
4459.724	trace	AO6G	0	0	0	142	235	0
4459.797	trace	C5NY	0	0	0	0	43	0
4476.109	trace	YT6C	0	59	0	20	141	0
4476.227	trace	AO6G	0	0	0	142	235	0
4476.301	trace	C5NY	0	0	0	0	43	0
4492.586	trace	YT6C	0	64	0	20	142	0
4492.705	trace	AO6G	0	0	0	142	235	0
4492.776	trace	C5NY	0	0	0	0	43	0
4509.22	trace	YT6C	0	69	0	20	144	0
4509.341	trace	AO6G	0	0	0	142	235	0
4509.413	trace	C5NY	0	0	0	0	43	0
4526.075	collisionStart	B6OH	YT6C
4526.639	trace	YT6C	45	-4	0	21	143	0
4526.744	trace	AO6G	0	0	0	142	235	0
4526.815	trace	C5NY	0	0	0	0	43	0
4543.17	collisionEnd	B6OH	YT6C
4543.404	trace	YT6C	45	1	0	22	143	0
4543.502	trace	AO6G	0	0	0	142	235	0
4543.571	trace	C5NY	0	0	0	0	43	0
4559.902	trace	YT6C	45	6	0	22	143	0
4560.03	trace	AO6G	0	0	0	142	235	0
4560.105	trace	C5NY	0	0	0	0	43	0
4576.606	trace	YT6C	45	11	0	23	144	0
4576.728	trace	AO6G	0	0	0	142	235	0
4576.797	trace	C5NY	0	0	0	0	43	0
4593.777	trace	YT6C	45	16	0	24	144	0
4593.901	trace	AO6G	0	0	0	142	235	0
4593.984	trace	C5NY	0	0	0	0	43	0
4610.221	trace	YT6C	45	21	0	25	144	0
4610.342	trace	AO6G	0	0	0	142	235	0
4610.453	trace	C5NY	0	0	0	0	43	0
4627.026	trace	YT6C	45	26	0	25	145	0
4627.147	trace	AO6G	0	0	0	142	235	0
4627.218	trace	C5NY	0	0	0	0	43	0
4643.426	trace	YT6C	45	31	0	26	145	0
4643.558	trace	AO6G	0	0	0	142	235	0
4643.628	trace	C5NY	0	0	0	0	43	0
4660.065	trace	YT6C	45	36	0	27	146	0
4660.189	trace	AO6G	0	0	0	142	235	0
4660.267	trace	C5NY	0	0	0	0	43	0
4676.753	trace	YT6C	45	40	0	28	146	0
4676.873	trace	AO6G	0	0	0	142	235	0
